Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
95,32,75,34,10,61,49,18,0,0.0950469970703125
83,75,42,70,33,61,26,26,0,1.4405241012573242
81,54,75,91,73,23,6,73,1,1.943028450012207
57,34,49,25,14,83,31,24,0,0.053887367248535156
78,22,10,22,62,30,76,65,1,0.08552169799804688
3,60,65,28,51,37,43,89,1,1.3154306411743164
12,42,43,88,17,74,26,17,1,1.0553710460662842
1,81,96,46,71,91,72,87,2,0.352123498916626
95,31,53,19,47,92,45,51,0,0.9536941051483154
4,24,95,94,64,56,8,60,2,0.5408024787902832
87,25,37,71,34,22,27,43,0,0.6637887954711914
100,66,65,24,49,59,77,54,2,0.11798286437988281
48,47,14,12,35,21,10,57,1,0.4263134002685547
42,40,8,24,57,93,6,53,0,0.4972951412200928
2,46,71,15,63,93,50,50,2,0.2537691593170166
16,62,76,22,52,15,56,36,0,0.26462674140930176
43,24,98,52,34,100,93,7,0,1.7302346229553223
21,38,20,2,27,92,22,100,0,0.42606019973754883
27,46,76,72,69,28,73,83,1,1.4106364250183105
64,92,23,93,78,17,30,14,2,1.8369865417480469
10,2,11,18,75,20,31,14,0,1.4018261432647705
33,51,60,69,33,97,51,70,2,0.10613727569580078
59,28,23,0,80,71,45,13,2,0.10551619529724121
42,84,71,75,2,9,54,3,0,0.4263730049133301
48,53,51,23,89,96,98,28,2,0.5553417205810547
99,36,41,74,82,49,55,50,1,0.09781646728515625
90,70,62,86,0,87,89,41,2,0.43181490898132324
37,97,50,50,49,59,35,26,1,0.17949199676513672
38,90,78,93,70,0,4,73,2,1.2568821907043457
60,77,98,12,39,9,9,36,1,1.3191781044006348
60,34,99,84,38,22,53,52,2,0.4114220142364502
69,38,67,56,89,20,49,84,0,0.10299110412597656
1,92,55,35,84,0,36,59,2,0.2582888603210449
10,90,57,69,23,15,25,77,2,0.09534263610839844
6,37,72,20,41,10,63,46,0,0.9743900299072266
48,12,44,57,68,93,25,18,0,0.44920897483825684
85,33,71,10,7,45,71,3,0,0.11563682556152344
42,65,49,46,82,14,29,71,2,0.2913048267364502
35,39,47,3,82,94,56,85,0,1.2185511589050293
65,55,54,96,86,49,7,62,1,0.45163869857788086
20,16,78,43,29,67,99,21,2,0.702094554901123
23,56,58,7,25,53,21,57,2,0.00899958610534668
25,43,29,81,34,23,47,14,2,0.6249921321868896
76,87,87,19,25,42,56,77,2,0.11284708976745605
87,59,56,7,65,24,77,67,2,0.06602144241333008
82,30,25,12,45,64,20,9,2,1.4500491619110107
69,66,47,8,71,36,67,22,1,0.1350417137145996
49,23,92,90,95,22,88,64,0,0.6332263946533203
96,42,9,74,70,96,5,26,1,3.4452075958251953
48,14,27,3,56,64,89,14,0,0.17113661766052246
46,26,16,39,14,11,43,69,1,0.46224546432495117
27,36,22,24,0,84,53,30,0,0.07072043418884277
19,52,13,5,89,84,84,50,1,1.4450263977050781
1,67,33,50,97,84,97,98,2,1.1935009956359863
65,86,34,99,43,55,71,10,0,1.22135329246521
74,66,89,26,3,51,13,27,2,1.2574174404144287
5,8,72,64,30,6,89,27,1,0.12475705146789551
29,1,83,23,82,42,23,11,2,0.055559396743774414
87,28,76,76,60,8,48,81,2,0.8252005577087402
28,45,68,87,10,56,49,51,2,0.8281092643737793
97,47,65,18,19,69,93,38,2,0.044667720794677734
38,27,0,68,82,95,66,97,1,0.8103675842285156
36,58,98,28,76,42,25,84,2,1.3202600479125977
82,39,57,61,99,67,37,75,0,0.46382713317871094
38,83,100,60,73,32,2,31,1,1.7612924575805664
19,3,67,94,18,12,6,79,1,0.04058194160461426
32,48,79,53,52,59,39,8,0,0.31945371627807617
70,70,46,3,30,80,100,14,1,1.0429105758666992
26,45,17,71,17,60,2,77,1,0.06768178939819336
85,51,17,28,3,57,47,71,0,1.6322038173675537
23,99,33,50,65,95,54,35,1,0.7323858737945557
88,33,26,82,57,22,70,7,1,0.3716588020324707
80,14,91,45,15,70,14,15,0,4.40363621711731
58,39,6,49,94,67,58,34,2,0.022040843963623047
38,41,26,60,81,10,97,0,0,0.14386677742004395
57,68,76,94,98,72,13,58,0,0.37925267219543457
26,85,69,98,39,36,56,65,2,0.17014789581298828
71,75,41,20,85,94,71,81,2,0.025064945220947266
13,26,94,66,47,48,24,83,2,1.306981086730957
84,65,41,62,44,89,26,0,0,1.5359210968017578
3,30,34,65,2,85,93,56,1,2.4345147609710693
23,97,15,20,45,33,20,94,2,0.018127918243408203
11,87,10,12,7,38,89,11,1,1.9661540985107422
52,11,23,50,10,67,99,45,1,0.3293929100036621
1,34,31,18,48,54,32,73,2,0.7264046669006348
90,84,67,78,26,46,43,39,0,0.11474323272705078
84,10,52,62,65,45,52,48,0,0.20559477806091309
0,12,85,85,33,12,94,63,1,0.18199801445007324
