Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
64,41,73,37,68,100,90,14,0,0.04826712608337402
0,40,40,98,92,75,77,38,2,0.9671430587768555
6,68,8,26,78,85,99,56,0,0.9840314388275146
98,50,82,32,28,81,49,78,0,0.3281857967376709
77,17,97,68,26,52,11,41,2,1.4507925510406494
60,29,20,1,82,90,77,56,1,0.44464683532714844
40,31,19,83,22,94,91,42,1,2.191984176635742
83,72,0,41,97,66,45,43,1,0.08182263374328613
16,60,14,12,45,72,43,82,1,0.14801430702209473
84,23,80,62,79,59,34,28,1,0.40688633918762207
28,64,29,31,50,22,8,54,2,0.46591639518737793
21,70,99,12,10,36,70,49,0,1.3740086555480957
9,91,30,15,59,0,1,34,1,2.0269598960876465
0,15,35,30,9,83,55,35,2,0.22997808456420898
78,66,74,84,98,89,27,4,0,0.23784470558166504
32,83,39,67,23,55,96,62,0,0.07894468307495117
62,71,82,6,51,77,42,59,1,0.16234254837036133
71,84,59,26,25,21,39,35,2,1.3714604377746582
48,17,13,83,45,72,81,52,2,1.4120631217956543
12,60,92,56,67,89,23,14,1,1.587066411972046
97,79,74,88,88,24,44,80,2,0.3544347286224365
24,1,63,50,61,4,64,5,2,0.16239285469055176
5,71,49,11,77,73,54,47,2,0.2806422710418701
11,62,71,28,86,14,51,50,0,1.037693977355957
88,8,98,10,25,47,41,75,0,0.05865216255187988
32,86,68,91,65,49,12,87,2,0.14547038078308105
17,22,1,41,15,98,39,5,0,0.4145369529724121
47,24,85,69,53,6,98,16,1,0.2600874900817871
71,94,74,72,16,79,66,79,2,0.06927227973937988
79,67,56,83,7,62,88,7,0,0.429811954498291
30,30,0,50,15,80,18,11,0,0.5391731262207031
93,85,68,68,86,64,36,3,0,0.5343902111053467
63,35,54,22,91,37,71,62,0,0.12394285202026367
65,85,57,94,44,60,23,74,0,0.15812349319458008
45,58,79,69,16,87,32,50,2,0.09085822105407715
4,47,62,16,38,33,20,84,0,0.3094205856323242
45,53,34,46,15,99,95,28,0,0.07050943374633789
60,12,18,46,92,24,91,87,2,0.7457060813903809
27,33,65,6,99,46,48,29,2,0.09688758850097656
59,2,53,14,85,48,16,40,0,0.061026811599731445
31,67,69,93,64,3,52,26,1,0.38922858238220215
33,23,27,25,88,72,99,81,0,0.028849363327026367
16,71,80,33,88,34,92,9,0,0.3886396884918213
26,80,17,85,78,19,67,81,0,0.05248117446899414
21,95,48,31,23,65,38,15,1,0.14896392822265625
60,6,88,47,32,66,22,30,1,2.258319139480591
57,57,89,96,6,21,22,32,2,0.28867578506469727
32,62,59,30,53,70,98,80,2,0.3416721820831299
77,3,66,16,24,18,55,37,0,0.07455301284790039
66,10,52,39,67,18,85,48,1,0.03362131118774414
26,8,100,49,62,29,94,38,1,0.21849894523620605
62,67,43,74,94,74,25,80,0,0.10752367973327637
43,8,47,11,68,2,93,22,0,0.020525693893432617
8,0,85,20,41,4,42,97,1,0.18539643287658691
64,39,37,50,49,46,39,77,1,0.06779336929321289
91,97,58,10,81,31,74,28,2,0.8585395812988281
22,99,21,53,76,79,28,46,2,0.24650883674621582
70,75,33,2,31,6,55,17,2,1.2344472408294678
72,87,58,64,62,72,30,97,1,0.08156895637512207
47,49,72,47,73,0,96,81,0,0.14375877380371094
42,77,35,91,56,68,26,82,0,0.21082663536071777
38,19,42,34,41,89,73,98,0,0.09064197540283203
47,64,97,35,81,40,42,94,2,0.4449906349182129
68,51,12,7,5,24,6,57,1,1.2090840339660645
89,77,81,17,4,14,58,94,2,0.8638110160827637
37,87,85,11,72,19,73,83,2,0.5424399375915527
38,85,64,75,40,82,45,98,1,0.01536250114440918
11,53,38,36,22,37,16,52,2,0.021049022674560547
50,95,5,94,68,24,57,1,0,7.603543281555176
78,7,37,16,70,6,2,26,1,0.03473639488220215
65,76,75,45,29,24,84,59,0,0.3369789123535156
13,35,100,35,55,78,67,60,1,1.1599788665771484
45,91,98,88,2,34,1,51,1,0.4905238151550293
77,30,18,31,17,80,32,59,2,1.0808658599853516
75,61,9,48,47,10,57,73,2,0.30896687507629395
51,26,87,77,19,13,44,40,2,0.07719755172729492
33,85,7,7,63,55,0,40,2,1.21513032913208
8,6,96,42,45,66,15,49,0,1.8337771892547607
66,91,50,22,45,65,97,84,1,1.0592617988586426
4,96,61,90,47,80,70,62,1,0.22081804275512695
88,12,63,94,95,75,35,91,1,1.7445135116577148
47,74,53,55,56,61,42,100,1,0.06841468811035156
75,46,81,3,61,86,92,40,2,0.09348773956298828
58,7,25,34,62,23,79,7,1,0.7259690761566162
40,8,72,76,60,79,88,33,2,2.2088465690612793
26,57,17,65,25,1,43,3,0,0.06225228309631348
66,55,81,52,44,55,76,76,2,0.28107404708862305
87,27,12,39,66,23,6,76,1,0.10606718063354492
3,39,4,97,45,78,64,28,1,0.3009064197540283
15,51,55,10,14,92,42,71,2,2.3824353218078613
21,51,81,9,26,50,14,26,1,0.021979570388793945
8,87,85,73,56,16,98,5,1,1.128671407699585
32,58,25,66,81,64,3,76,0,0.049714088439941406
73,44,72,47,13,86,72,80,0,0.010991096496582031
27,1,72,44,58,67,82,68,1,2.1378891468048096
35,82,10,23,51,34,89,58,1,0.26995849609375
75,37,8,83,51,77,53,67,2,0.17647576332092285
73,83,47,75,6,69,96,85,2,0.291532039642334
65,33,13,21,52,90,30,83,1,1.0424222946166992
34,20,61,56,6,56,88,74,1,0.9649209976196289
98,73,87,73,82,89,1,79,0,0.04761171340942383
36,11,43,55,77,55,80,100,1,0.7099125385284424
1,96,53,77,11,72,0,31,1,0.12598371505737305
33,60,84,98,79,70,5,87,0,1.3229258060455322
0,18,13,64,21,75,77,74,0,1.1394431591033936
17,100,76,55,62,22,53,77,2,0.2258920669555664
38,78,96,68,47,41,6,17,1,0.21094822883605957
74,17,80,9,35,20,11,50,0,0.0501246452331543
55,45,49,81,32,45,61,39,2,0.04656243324279785
32,29,63,58,31,30,79,59,1,0.0
83,73,45,51,62,94,5,49,1,0.9279108047485352
62,83,79,78,80,97,15,11,0,0.21106958389282227
1,44,13,46,65,22,37,21,0,0.05574536323547363
64,79,13,27,17,76,99,32,1,1.4403185844421387
51,72,45,53,1,89,81,19,0,0.09992456436157227
40,65,99,10,17,51,39,6,1,0.3693220615386963
48,23,47,15,61,29,12,30,0,0.04616594314575195
25,40,53,83,87,4,11,30,2,0.09444618225097656
69,89,14,65,24,87,13,10,0,2.3587632179260254
91,10,37,39,97,47,74,58,2,0.815875768661499
55,45,41,46,31,53,86,53,0,0.06466197967529297
23,4,71,69,92,19,92,46,0,2.5934574604034424
73,16,9,72,2,83,61,92,2,1.4827017784118652
51,71,2,65,2,25,84,3,1,1.415464162826538
18,72,18,19,26,79,75,23,1,0.05573892593383789
84,66,11,24,67,87,90,37,1,0.9563536643981934
88,25,14,23,82,24,80,94,1,0.02709794044494629
80,16,18,16,96,81,44,58,2,0.3277876377105713
32,4,51,88,0,78,13,69,2,1.4121184349060059
68,77,31,63,98,29,1,66,2,1.5669968128204346
19,17,82,62,41,53,62,7,0,0.31876707077026367
98,44,31,39,95,39,45,41,1,0.027056455612182617
98,24,31,14,75,71,58,88,1,1.4370765686035156
37,98,31,73,9,22,95,2,0,0.1304914951324463
78,63,75,6,80,100,90,9,1,0.62510085105896
61,99,39,34,85,67,37,45,0,1.2855167388916016
37,77,86,79,48,36,4,79,2,2.1962265968322754
67,37,48,60,69,81,20,26,0,0.14204668998718262
19,55,65,24,94,7,95,33,0,1.1585490703582764
19,35,7,10,53,71,94,70,0,0.20318937301635742
9,77,14,30,27,64,67,6,1,1.3733115196228027
41,42,9,40,80,91,68,27,2,0.29724621772766113
71,34,55,85,5,64,20,18,1,0.35889291763305664
15,85,93,28,71,28,11,41,2,0.6575469970703125
93,41,64,21,22,38,9,15,1,1.1657016277313232
95,37,48,69,53,60,83,70,1,0.8655321598052979
99,64,32,79,18,77,58,16,2,2.077254056930542
66,98,91,49,17,2,28,62,1,3.1765658855438232
35,28,9,85,59,50,39,26,2,0.01888728141784668
63,58,80,48,28,42,94,49,0,0.09175300598144531
22,97,44,1,67,83,7,64,0,1.0270521640777588
7,40,0,49,92,40,49,56,0,0.056265830993652344
5,76,83,76,33,79,10,53,2,0.31671857833862305
70,41,62,68,74,95,77,61,0,0.5422048568725586
71,40,91,53,92,63,53,18,0,0.12685370445251465
46,34,49,60,94,63,4,7,0,0.15179848670959473
91,52,40,59,74,82,94,82,1,0.6172983646392822
83,76,92,78,14,27,57,87,0,0.04840993881225586
6,10,65,42,60,15,41,40,2,1.9438512325286865
94,71,93,55,66,73,73,68,1,0.17921686172485352
43,25,51,34,39,60,96,78,0,0.05755186080932617
70,7,81,74,8,54,63,57,2,0.26567578315734863
91,37,62,3,10,14,13,64,0,1.0844264030456543
54,90,77,59,21,87,94,83,0,0.2503166198730469
74,55,22,35,98,42,31,89,1,0.20693039894104004
56,60,89,21,61,43,3,10,1,0.0856935977935791
86,13,12,76,12,78,31,90,0,1.140819787979126
74,65,57,42,71,50,10,92,1,0.06924176216125488
25,97,28,19,52,37,53,51,0,0.6935431957244873
80,30,93,100,27,75,3,94,0,6.913539409637451
69,27,83,4,96,46,73,71,1,0.8421061038970947
63,32,56,83,22,9,3,89,0,2.244722604751587
32,31,70,28,57,29,76,89,1,0.11055374145507812
44,74,18,40,31,99,48,24,1,2.217798948287964
51,5,4,77,1,35,28,47,1,1.11384916305542
16,60,50,31,27,63,3,89,1,0.053832292556762695
14,40,18,0,69,12,27,35,2,0.0649101734161377
75,48,38,31,58,32,91,89,0,0.6941795349121094
27,71,70,12,58,97,61,82,2,0.9731323719024658
65,55,29,3,77,35,93,96,1,0.15944647789001465
43,94,61,30,54,32,73,78,2,2.008607864379883
85,84,36,69,36,1,7,36,2,3.112596035003662
31,17,95,6,26,32,84,99,1,0.08109045028686523
15,5,75,49,64,17,79,32,1,1.0341343879699707
12,2,98,62,35,68,13,61,1,2.401583433151245
54,99,82,59,51,4,15,100,2,7.947412729263306
94,34,30,53,61,73,37,49,2,2.0412065982818604
57,67,92,40,100,22,35,37,0,1.020258903503418
68,75,38,10,23,78,20,27,0,0.7856295108795166
18,17,11,92,26,4,78,79,1,0.12167978286743164
70,20,9,55,3,53,16,54,0,0.30870914459228516
97,13,21,55,81,53,63,21,2,1.4311959743499756
1,45,50,57,88,15,10,98,2,2.5968430042266846
8,0,49,95,43,73,44,54,2,1.2984013557434082
97,74,90,35,71,12,65,24,0,0.8527610301971436
96,92,43,87,73,95,8,47,1,0.11015439033508301
53,32,56,4,49,32,95,79,1,0.016207456588745117
85,15,33,35,62,13,93,22,2,0.06191205978393555
29,90,69,30,84,83,64,86,1,1.5267131328582764
86,7,65,39,59,76,96,75,2,0.8719882965087891
8,54,38,69,56,64,26,64,2,0.08655095100402832
90,83,79,97,66,36,27,4,0,0.09753561019897461
36,28,48,37,33,51,64,51,2,0.11537861824035645
99,48,37,74,82,82,89,88,1,0.16491937637329102
92,33,39,23,10,1,99,83,0,2.4429819583892822
49,62,48,68,60,32,3,68,0,0.02864217758178711
74,67,63,51,25,34,91,74,0,0.20674395561218262
29,13,5,100,7,32,64,51,1,0.45153212547302246
12,90,23,95,68,88,27,8,0,0.05874896049499512
48,53,0,45,90,49,14,74,2,0.5647873878479004
17,45,64,86,64,31,56,45,2,0.20724868774414062
46,73,76,95,77,76,72,18,1,0.7535216808319092
13,0,12,63,87,66,36,96,0,2.7347471714019775
92,64,97,5,32,18,43,79,2,1.1238434314727783
41,82,59,35,25,51,32,13,0,0.7984509468078613
37,84,1,4,65,1,12,72,2,0.694298505783081
66,50,22,32,39,91,10,5,0,0.6861288547515869
5,72,55,33,16,16,14,98,2,0.5950727462768555
68,6,2,47,25,63,90,23,2,2.644345760345459
42,59,16,84,25,59,99,40,1,0.0827798843383789
49,13,93,86,85,41,28,45,1,0.7587618827819824
13,7,73,55,97,73,33,21,2,0.1222231388092041
74,24,14,39,32,90,83,39,2,0.09513306617736816
11,48,14,22,67,37,23,27,2,0.3048734664916992
63,37,50,80,34,11,37,46,2,0.1322166919708252
52,30,3,47,33,6,42,98,0,1.4997355937957764
74,83,97,36,69,6,87,42,2,0.19602680206298828
70,9,31,14,99,50,54,94,1,1.8249754905700684
0,47,5,29,56,24,51,51,0,0.26402997970581055
19,24,73,45,2,94,43,54,2,0.19453954696655273
89,0,55,14,86,69,71,55,0,1.3799717426300049
41,22,25,8,44,75,55,88,0,0.13394594192504883
98,58,77,94,39,58,41,56,1,5.374237060546875
90,91,15,68,84,10,20,83,2,2.708974599838257
93,89,22,44,14,55,56,35,2,3.1921119689941406
2,41,74,83,34,81,6,7,2,1.6549830436706543
1,70,33,47,46,3,17,21,2,0.5840013027191162
18,30,46,49,91,0,16,92,0,0.18189716339111328
94,43,27,90,29,16,32,90,1,2.2976579666137695
71,61,73,60,28,77,12,20,0,0.005686283111572266
47,23,88,8,54,14,86,74,1,0.053038835525512695
59,31,61,26,50,3,22,5,0,0.022103071212768555
22,46,24,32,49,90,99,58,0,0.07329845428466797
39,50,76,58,73,8,41,91,1,0.73764967918396
44,42,16,81,59,57,14,60,0,0.5802383422851562
28,51,77,40,89,83,71,36,0,0.21853089332580566
55,26,100,11,36,35,59,5,2,0.6700780391693115
24,81,81,45,35,60,36,72,2,0.06139373779296875
88,15,51,5,11,64,95,47,2,1.4051997661590576
95,48,78,86,60,31,83,5,1,0.21474337577819824
87,55,54,58,63,21,34,51,2,0.19622182846069336
18,40,70,74,49,36,24,59,2,0.2821192741394043
81,53,22,92,67,16,6,87,1,0.9202573299407959
55,77,52,28,15,82,3,80,2,0.24357342720031738
20,82,24,0,32,88,17,15,1,0.06738066673278809
9,9,67,16,33,61,37,33,2,0.18056917190551758
79,41,55,33,46,16,6,43,0,0.11238908767700195
71,73,43,89,55,23,6,3,0,0.8102843761444092
64,76,81,8,59,63,9,46,1,0.06567811965942383
51,5,88,62,76,26,21,10,1,0.5963501930236816
5,90,85,40,67,18,46,44,2,1.3194215297698975
98,70,13,73,3,48,67,4,1,1.5765767097473145
66,60,86,50,6,19,24,99,0,0.15552449226379395
49,85,100,0,96,84,87,20,1,0.6916215419769287
89,64,1,19,12,77,36,54,2,0.2900819778442383
99,65,97,41,43,32,73,70,1,0.7690682411193848
78,48,15,14,31,62,71,88,2,0.8242974281311035
92,46,56,32,98,58,3,28,1,0.07084298133850098
50,47,9,24,38,36,44,34,0,1.0011789798736572
31,57,32,65,15,42,54,56,0,0.04121565818786621
16,78,70,64,4,95,25,9,1,0.12310624122619629
75,7,62,24,13,6,57,43,0,0.10025191307067871
19,7,91,90,10,39,30,16,2,0.06884479522705078
65,86,44,47,4,60,2,25,2,1.9378597736358643
23,39,84,4,47,48,56,30,2,2.1008858680725098
7,61,68,64,77,62,71,99,1,1.8015522956848145
40,60,32,3,13,89,13,38,0,0.3545546531677246
98,19,81,60,95,70,35,23,0,0.21442675590515137
68,72,39,6,93,59,3,88,1,0.6833949089050293
64,27,85,11,8,72,46,83,0,0.1827249526977539
3,62,20,57,29,29,42,43,0,0.08197569847106934
26,38,72,98,16,95,65,59,0,3.00382399559021
55,92,34,14,10,53,20,58,2,0.23805451393127441
41,69,21,63,22,62,69,11,1,0.07634639739990234
23,86,86,64,8,57,65,33,2,3.2305715084075928
64,13,1,29,68,47,20,21,0,1.1469025611877441
84,39,51,93,11,95,26,42,0,0.8277137279510498
25,2,4,75,81,39,12,77,0,1.9691452980041504
12,39,26,67,37,14,39,63,2,0.15759873390197754
42,59,89,64,85,83,65,41,0,0.4185802936553955
58,16,35,22,25,23,26,12,1,0.10480618476867676
51,39,29,55,87,18,15,1,0,0.5804111957550049
97,52,62,57,27,14,70,15,0,2.159601926803589
18,64,59,43,15,58,39,27,1,0.02910327911376953
51,42,47,41,83,33,99,24,0,0.017655134201049805
40,99,37,69,81,75,23,84,0,0.286632776260376
76,49,95,73,93,84,7,16,1,0.7988076210021973
66,46,60,6,17,60,80,32,2,0.2512495517730713
87,1,49,96,37,45,16,62,0,0.9254865646362305
85,72,57,86,42,66,31,96,2,0.9911713600158691
37,87,43,65,89,38,68,35,0,0.10891962051391602
23,92,48,18,24,13,87,1,1,2.205465078353882
57,76,67,90,32,88,88,59,0,0.09431242942810059
35,17,22,25,59,47,13,96,0,0.07874560356140137
88,15,72,18,100,90,8,50,0,0.08720564842224121
92,20,65,44,58,52,51,91,0,0.16996121406555176
80,4,15,91,14,43,99,56,0,1.6572177410125732
14,31,81,73,41,45,74,70,1,0.15092706680297852
41,71,32,84,22,86,21,84,0,0.20669007301330566
79,94,13,80,39,47,35,47,1,1.7050318717956543
62,9,92,31,14,69,34,64,2,1.1482174396514893
85,37,53,36,93,73,82,55,2,0.08613228797912598
7,60,85,100,88,94,83,92,2,0.40618062019348145
9,10,84,33,18,73,2,41,1,0.47762560844421387
36,33,11,13,42,27,22,14,1,0.10504984855651855
12,82,28,59,32,55,62,34,0,0.11825013160705566
57,57,27,39,78,13,73,9,1,1.756983995437622
25,22,31,39,64,33,33,13,0,0.32735705375671387
3,11,52,20,27,24,4,87,1,0.12943649291992188
8,10,15,72,50,82,85,17,0,0.9683654308319092
7,99,70,99,30,89,28,98,2,0.8033144474029541
47,32,21,35,65,10,86,46,1,0.24812722206115723
80,5,70,36,87,2,48,96,1,0.037024736404418945
53,6,32,62,23,70,92,88,1,1.9439332485198975
95,29,59,63,2,78,39,71,0,0.25892066955566406
1,4,60,66,3,100,24,23,2,0.1569533348083496
40,19,81,28,28,17,19,66,1,0.06583189964294434
34,11,32,25,17,29,39,57,0,0.05817842483520508
47,40,16,91,19,87,69,65,2,0.460601806640625
19,53,89,66,13,66,79,5,1,0.07213807106018066
76,85,7,5,16,99,59,61,1,1.0580203533172607
3,38,65,62,47,91,1,6,2,3.293534755706787
74,12,55,94,56,79,54,69,1,0.7659518718719482
58,13,70,67,17,42,28,97,1,3.4253358840942383
83,85,16,8,83,94,1,83,1,0.04172205924987793
38,32,63,99,22,37,37,10,1,0.3704686164855957
93,91,49,66,32,38,24,77,0,0.25573253631591797
97,36,46,94,69,42,57,8,0,0.42022275924682617
77,30,35,53,88,92,83,43,2,0.06863236427307129
96,6,93,75,17,40,32,1,1,0.4580855369567871
35,8,6,60,21,100,92,49,1,3.198983669281006
26,10,16,52,29,28,67,45,1,0.08264946937561035
9,79,95,67,86,83,29,27,0,0.9349074363708496
49,92,4,83,64,62,44,32,2,0.5451126098632812
69,81,25,61,33,27,25,5,2,0.7032032012939453
62,33,43,2,46,7,77,65,1,0.17771387100219727
47,12,38,53,97,88,31,12,2,0.08907389640808105
4,96,8,7,42,83,19,31,1,1.2998976707458496
48,74,43,74,92,15,95,22,0,0.022321224212646484
29,17,3,70,69,22,64,81,0,1.417949914932251
50,58,27,97,71,94,16,48,0,1.069577693939209
42,77,24,28,5,75,19,18,0,0.5982604026794434
20,55,15,9,87,34,6,4,0,0.2325751781463623
49,89,47,76,48,66,28,33,0,0.05257534980773926
0,2,57,73,79,43,76,16,1,1.5514509677886963
75,31,82,67,65,13,76,15,2,0.42319273948669434
20,11,79,73,100,64,71,42,2,1.2538352012634277
89,54,4,20,97,75,5,85,1,0.1275956630706787
86,8,68,75,77,51,73,91,1,0.22105097770690918
24,6,86,83,75,32,46,10,2,0.10816168785095215
85,76,35,9,60,70,14,50,1,0.1325669288635254
46,19,73,92,70,94,39,44,2,0.1342160701751709
95,89,75,79,78,15,15,44,0,0.11517548561096191
90,63,15,82,0,94,80,62,2,0.04533958435058594
22,51,74,82,15,4,9,74,2,0.17517733573913574
99,50,34,36,42,15,25,66,0,0.31941890716552734
87,19,46,79,49,92,83,28,2,0.044203996658325195
3,2,81,48,23,38,70,79,1,2.087528705596924
11,20,78,30,47,76,68,66,2,0.34206485748291016
75,20,88,90,69,75,42,37,2,0.8125183582305908
12,27,55,78,17,39,16,47,1,0.049698829650878906
2,90,76,61,45,45,28,34,0,0.7259030342102051
91,2,32,70,21,64,33,25,0,1.4186427593231201
10,27,31,6,16,53,38,47,1,0.364091157913208
73,75,88,49,47,34,48,57,1,1.5343432426452637
69,80,39,64,20,44,73,62,2,0.2391514778137207
25,15,83,25,36,53,10,11,2,0.08812069892883301
18,84,46,64,71,50,88,46,0,0.17390894889831543
23,36,29,31,4,98,16,18,0,0.0365595817565918
70,34,78,32,74,10,69,87,0,0.036559104919433594
82,84,8,32,32,28,90,61,2,0.3592078685760498
44,99,74,68,6,49,23,57,1,0.8920392990112305
77,84,31,93,94,18,84,79,2,0.03955507278442383
77,18,85,20,53,91,89,62,0,0.037534475326538086
6,31,41,16,0,6,59,81,1,1.2381329536437988
25,100,51,41,50,42,80,92,0,1.0810644626617432
15,50,98,58,99,95,88,100,1,2.2407383918762207
74,37,70,22,71,46,67,99,1,0.05544543266296387
83,98,71,1,44,87,58,63,1,1.5720202922821045
25,78,76,58,84,94,83,68,2,0.2510056495666504
75,2,47,86,3,100,45,17,2,0.18816542625427246
99,87,42,58,78,63,33,88,2,0.792151927947998
41,16,78,32,2,92,40,58,2,1.0650842189788818
8,3,91,98,74,53,71,37,1,1.4308140277862549
98,44,14,22,55,63,77,91,0,0.5660686492919922
11,29,42,46,46,3,77,71,2,1.6702351570129395
15,51,90,43,62,46,90,31,1,0.2386476993560791
15,36,20,41,87,100,13,75,0,0.031193971633911133
73,66,36,57,53,27,2,41,2,0.27571749687194824
72,4,70,83,8,64,13,71,2,1.9217402935028076
43,48,36,75,95,12,22,18,0,3.124723434448242
91,21,45,38,21,21,42,22,2,0.9614529609680176
41,56,74,45,24,49,88,10,1,0.3898813724517822
41,96,34,33,67,36,11,14,0,0.8008608818054199
76,65,93,53,3,72,80,87,0,0.25896668434143066
13,76,73,14,38,17,81,52,2,2.8250176906585693
32,33,3,13,39,26,7,20,1,0.11882233619689941
96,8,73,51,31,71,7,41,1,2.0621488094329834
96,0,24,10,19,80,42,79,2,4.506774187088013
92,87,26,57,59,28,27,76,0,2.5810253620147705
80,48,78,16,24,30,26,9,0,0.45603179931640625
97,28,72,20,56,32,3,37,0,0.8970804214477539
58,93,15,70,17,26,29,24,2,0.732527494430542
51,57,92,63,27,19,30,45,2,0.6027035713195801
44,53,99,20,94,48,86,86,0,3.0847997665405273
31,65,67,52,7,67,81,38,1,0.22466611862182617
76,31,23,68,80,84,75,16,2,0.08170056343078613
68,12,13,69,1,65,50,98,0,0.9868435859680176
42,40,5,39,75,46,0,19,0,2.174370288848877
30,40,95,1,9,38,25,39,2,0.02072739601135254
83,18,0,75,1,75,10,82,0,1.1481759548187256
56,79,16,31,12,16,28,75,0,0.823998212814331
69,68,48,53,0,64,65,100,1,1.273916482925415
43,7,21,70,60,12,39,33,2,0.31211376190185547
87,10,63,64,55,84,79,91,2,0.7913272380828857
78,95,32,89,18,19,66,83,2,0.07877779006958008
67,44,47,12,68,33,55,80,1,0.05301976203918457
16,54,37,100,71,83,45,23,0,0.5727989673614502
38,16,82,70,65,93,79,34,0,3.0048446655273438
41,17,49,70,73,33,38,3,2,0.08175945281982422
81,0,18,22,32,49,45,77,1,1.2666740417480469
23,28,97,38,63,3,61,16,2,0.18031668663024902
78,100,44,74,15,7,23,86,2,1.120110273361206
52,12,91,3,52,69,26,17,2,0.5961849689483643
86,47,93,76,86,15,89,47,2,0.010183572769165039
38,46,44,8,92,48,76,30,2,1.0763423442840576
32,61,71,55,91,20,80,25,2,1.0142161846160889
51,76,43,87,77,66,17,11,0,0.07772207260131836
66,80,41,16,71,53,34,74,0,0.4360814094543457
27,36,71,92,48,88,8,85,2,1.3011713027954102
27,55,35,35,52,0,23,83,0,0.1429460048675537
78,51,99,58,86,4,78,4,0,2.7856857776641846
49,76,3,36,55,38,48,13,2,1.0328423976898193
12,61,38,28,52,93,20,11,0,0.23394131660461426
52,33,98,26,42,4,33,1,1,0.14548563957214355
87,82,67,56,30,94,58,26,2,0.23816943168640137
68,100,20,83,32,66,94,93,2,1.3023653030395508
33,64,49,100,15,42,34,66,2,0.005000114440917969
38,82,85,99,51,83,92,46,1,0.058852195739746094
49,58,16,67,40,40,18,93,0,0.369640588760376
35,68,84,84,7,59,89,41,1,0.24550604820251465
84,78,98,20,30,18,56,9,1,1.487961769104004
4,41,7,36,56,98,55,29,0,0.0267794132232666
59,75,23,92,20,49,29,97,0,0.1654813289642334
44,49,14,44,52,60,44,15,1,0.08946776390075684
66,25,5,42,10,91,95,12,2,0.23417401313781738
88,58,8,64,38,65,75,79,2,0.5956306457519531
73,91,3,63,40,46,30,49,2,0.2694733142852783
27,93,79,60,65,10,96,7,2,4.18724513053894
17,93,26,55,11,53,16,46,2,0.695690393447876
69,61,23,59,42,57,57,53,2,0.06805634498596191
67,27,32,18,13,51,75,96,0,1.0837442874908447
51,31,27,11,7,16,49,82,1,0.4060039520263672
71,92,66,70,50,58,25,12,0,0.10393309593200684
71,60,29,34,98,21,15,74,2,1.5741803646087646
45,79,36,82,26,19,73,53,0,0.04826521873474121
71,31,66,9,81,49,20,17,0,0.41889262199401855
38,73,70,1,70,46,2,38,1,0.7416119575500488
0,63,100,7,46,94,65,99,1,0.8599545955657959
19,73,23,99,73,50,36,41,0,1.6797833442687988
20,52,32,42,17,79,63,26,0,0.39510035514831543
3,29,67,95,65,41,41,67,0,0.3576619625091553
89,81,59,70,5,85,84,50,2,0.573721170425415
95,4,53,56,65,75,80,41,2,0.19821882247924805
62,93,36,48,59,20,13,96,0,2.9467647075653076
53,72,42,25,34,34,29,38,1,0.16390132904052734
17,73,60,35,39,35,56,32,1,0.5777826309204102
5,33,24,78,40,46,31,29,1,0.5756430625915527
74,10,22,93,1,35,0,31,2,2.23311448097229
74,22,28,53,90,35,5,54,1,0.2724339962005615
17,10,3,74,37,33,93,8,1,0.15984821319580078
64,67,61,35,52,26,33,45,1,0.15594005584716797
69,93,51,71,1,91,14,93,0,1.2171285152435303
88,37,27,11,53,10,39,41,0,0.251478910446167
6,37,20,1,86,24,90,77,2,0.9919791221618652
18,36,93,82,78,1,92,76,2,1.8728818893432617
54,83,25,48,74,37,95,60,1,0.25076985359191895
12,77,71,4,94,59,41,3,0,0.48245787620544434
90,16,45,68,73,30,68,78,1,0.1055607795715332
77,14,62,99,58,46,86,73,0,1.249140739440918
59,64,34,44,14,45,18,3,0,0.1497342586517334
80,73,51,87,38,55,33,71,1,0.40867137908935547
87,87,8,80,12,19,12,46,2,1.655510663986206
47,26,28,32,95,40,38,92,0,0.13042664527893066
31,70,99,71,68,28,86,34,2,0.3233804702758789
65,21,68,4,6,73,51,67,0,0.10636401176452637
10,66,82,47,100,1,66,93,2,1.8776490688323975
100,32,96,14,38,59,34,78,0,0.0987706184387207
79,13,39,9,26,93,15,8,0,0.670048713684082
73,68,1,13,90,64,51,18,1,0.0935201644897461
100,89,79,71,95,63,82,25,2,1.2089037895202637
47,25,89,84,97,65,94,31,0,0.6670057773590088
75,21,69,65,1,66,90,22,2,0.08274197578430176
91,11,81,60,45,87,37,97,0,0.9468858242034912
88,80,34,47,12,82,76,85,2,0.06211495399475098
16,29,76,48,19,88,29,72,2,0.6582818031311035
5,69,91,41,22,0,7,100,2,0.7828998565673828
89,83,49,49,38,60,48,9,0,0.7264137268066406
31,70,84,22,44,18,40,28,1,0.2236027717590332
21,27,6,45,3,38,49,30,0,0.1007077693939209
47,73,55,24,35,21,22,3,1,0.6376609802246094
64,13,41,82,11,79,77,63,2,2.3878259658813477
50,77,4,47,58,51,58,89,2,0.09099650382995605
63,15,18,47,58,30,90,46,1,0.07277154922485352
67,90,87,46,69,68,77,81,1,0.3841886520385742
73,95,78,79,48,96,6,66,0,0.5661847591400146
1,69,34,37,27,72,78,97,2,0.33124661445617676
